url;metascore;userscore;rating
https://www.metacritic.com/movie/a-gray-state;74;5,9;| TV-MA
https://www.metacritic.com/movie/a-guide-to-recognizing-your-saints;67;6,9;| R
https://www.metacritic.com/movie/a-guy-thing;27;6;| PG-13
https://www.metacritic.com/movie/a-happening-of-monumental-proportions;35;5;| R
https://www.metacritic.com/movie/a-hard-day;76;7,5;| Not Rated
https://www.metacritic.com/movie/a-haunted-house;20;5;| R
https://www.metacritic.com/movie/a-haunted-house-2;17;3,7;| R
https://www.metacritic.com/movie/a-hidden-life;78;7,4;| Not Rated
https://www.metacritic.com/movie/a-hijacking;82;7,2;| R
https://www.metacritic.com/movie/a-history-of-violence;81;7,4;| R
https://www.metacritic.com/movie/a-hole-in-my-heart;32;;| Unrated
https://www.metacritic.com/movie/a-hole-in-one;37;5,7;
https://www.metacritic.com/movie/a-hologram-for-the-king;58;5,8;| R
https://www.metacritic.com/movie/a-home-at-the-end-of-the-world;59;7,4;| R
https://www.metacritic.com/movie/a-house-on-a-hill;53;;
https://www.metacritic.com/movie/a-housekeeper;68;6,4;| R
https://www.metacritic.com/movie/a-jihad-for-love;55;5,3;| Unrated
https://www.metacritic.com/movie/a-journal-for-jordan;42;4,2;| PG-13
https://www.metacritic.com/movie/a-kid-like-jake;58;5,8;| NR
https://www.metacritic.com/movie/a-kind-of-murder;50;5,6;| R
https://www.metacritic.com/movie/a-knights-tale;56;6,9;| PG-13
https://www.metacritic.com/movie/a-land-imagined;59;;| Not Rated
https://www.metacritic.com/movie/a-late-quartet;67;7,4;| R
https://www.metacritic.com/movie/a-league-of-ordinary-gentlemen;66;5,9;| Not Rated
https://www.metacritic.com/movie/a-lego-brickumentary;51;4,9;| G
https://www.metacritic.com/movie/a-letter-to-momo;65;5,5;| Not Rated
https://www.metacritic.com/movie/a-letter-to-true;51;;
https://www.metacritic.com/movie/a-liars-autobiography---the-untrue-story-of-monty-pythons-graham-chapman;45;5,4;| Not Rated
https://www.metacritic.com/movie/a-little-bit-of-heaven;14;5;| PG-13
https://www.metacritic.com/movie/a-little-chaos;51;6,5;| R
https://www.metacritic.com/movie/a-little-help;54;4,8;| R
https://www.metacritic.com/movie/a-long-way-down;34;6,2;| R
https://www.metacritic.com/movie/a-lot-like-love;48;7,2;| PG-13
https://www.metacritic.com/movie/a-love-affair-of-sorts;22;;
https://www.metacritic.com/movie/a-love-divided;52;5,8;| Unrated
https://www.metacritic.com/movie/a-love-song-for-bobby-long;48;7,5;| TV-MA
https://www.metacritic.com/movie/a-man-apart;36;5,2;| R
https://www.metacritic.com/movie/a-man-called-ove;70;7,4;| PG-13
https://www.metacritic.com/movie/a-man-named-pearl;63;8,5;| G
https://www.metacritic.com/movie/a-mans-gotta-do;41;;
https://www.metacritic.com/movie/a-mans-story;49;6;| Not Rated
https://www.metacritic.com/movie/a-master-builder;67;;| Not Rated
https://www.metacritic.com/movie/a-matter-of-taste;74;;
https://www.metacritic.com/movie/a-merry-friggin-christmas;28;5,8;| PG-13
https://www.metacritic.com/movie/a-midsummer-nights-dream-2018;67;8,4;| Not Rated
https://www.metacritic.com/movie/a-mighty-heart;74;7,1;| R
https://www.metacritic.com/movie/a-mighty-wind;81;7,2;| PG-13
https://www.metacritic.com/movie/a-million-little-pieces;45;5,3;| R
https://www.metacritic.com/movie/a-million-ways-to-die-in-the-west;44;5,2;| R
https://www.metacritic.com/movie/a-monster-calls;76;7,8;| PG-13
https://www.metacritic.com/movie/a-monster-with-a-thousand-heads;71;8,2;| Not Rated
https://www.metacritic.com/movie/a-most-violent-year;79;7;| R
https://www.metacritic.com/movie/a-most-wanted-man;73;7;| R
https://www.metacritic.com/movie/a-mouthful-of-air;52;;| R
https://www.metacritic.com/movie/a-murder-in-the-park;70;7;| PG-13
https://www.metacritic.com/movie/a-night-in-old-mexico;45;5,3;
https://www.metacritic.com/movie/a-nightmare-on-elm-street;35;4,9;| R
https://www.metacritic.com/movie/a-perfect-day;60;6,6;| R
https://www.metacritic.com/movie/a-perfect-getaway;63;6,2;| R
https://www.metacritic.com/movie/a-piece-of-eden;43;;
https://www.metacritic.com/movie/a-pigeon-sat-on-a-branch-reflecting-on-existence;81;6,9;| Not Rated
https://www.metacritic.com/movie/a-place-at-the-table;68;;| PG
https://www.metacritic.com/movie/a-poem-is-a-naked-person;76;;| Not Rated
https://www.metacritic.com/movie/a-prairie-home-companion;75;6,5;| PG-13
https://www.metacritic.com/movie/a-prayer-before-dawn;76;6,8;| R
https://www.metacritic.com/movie/a-previous-engagement;46;;
https://www.metacritic.com/movie/a-private-war;75;7;| Not Rated
https://www.metacritic.com/movie/a-promise;36;2,6;| Not Rated
https://www.metacritic.com/movie/a-prophet;90;8,5;| R
https://www.metacritic.com/movie/a-quiet-passion;78;6,2;| PG-13
https://www.metacritic.com/movie/a-quiet-place;82;7,1;| PG-13
https://www.metacritic.com/movie/a-quiet-place-part-ii;71;7,3;| PG-13
https://www.metacritic.com/movie/a-rainy-day-in-new-york;38;7,8;| PG-13
https://www.metacritic.com/movie/a-real-young-girl;55;6,2;| Unrated
https://www.metacritic.com/movie/a-river-below;81;;| Not Rated
https://www.metacritic.com/movie/a-river-changes-course;77;;| Not Rated
https://www.metacritic.com/movie/a-room-for-romeo-brass;65;8;| R
https://www.metacritic.com/movie/a-royal-affair;73;7,7;| R
https://www.metacritic.com/movie/a-royal-night-out;58;6,2;| PG-13
https://www.metacritic.com/movie/a-rumor-of-angels;35;8;| PG-13
https://www.metacritic.com/movie/a-scanner-darkly;73;7,7;| R
https://www.metacritic.com/movie/a-screaming-man;72;;| Not Rated
https://www.metacritic.com/movie/a-secret;72;5,8;
https://www.metacritic.com/movie/a-secret-love;77;8;| TV-MA
https://www.metacritic.com/movie/a-separation;95;8,9;| PG-13
https://www.metacritic.com/movie/a-serious-man;84;6,7;| R
https://www.metacritic.com/movie/a-shaun-the-sheep-movie-farmageddon;79;7,1;| Not Rated
https://www.metacritic.com/movie/a-short-history-of-decay;54;;| R
https://www.metacritic.com/movie/a-shot-at-glory;66;7,5;| R
https://www.metacritic.com/movie/a-sidewalk-astronomer;60;;
https://www.metacritic.com/movie/a-silent-love;62;;
https://www.metacritic.com/movie/a-silent-voice;78;8,7;| Not Rated
https://www.metacritic.com/movie/a-simple-favor;67;6,9;| R
https://www.metacritic.com/movie/a-simple-life;78;7,9;| Not Rated
https://www.metacritic.com/movie/a-simple-noodle-story;57;6,1;| R
https://www.metacritic.com/movie/a-single-man;77;8,3;| R
https://www.metacritic.com/movie/a-single-shot;53;6,7;| R
https://www.metacritic.com/movie/a-sinner-in-mecca;68;;| Not Rated
https://www.metacritic.com/movie/a-skin-so-soft;65;;| Not Rated
https://www.metacritic.com/movie/a-slipping-down-life;44;7,5;| R
https://www.metacritic.com/movie/a-somewhat-gentle-man;68;8,2;| Not Rated
https://www.metacritic.com/movie/a-song-for-martin;72;;| PG-13
https://www.metacritic.com/movie/a-sound-of-thunder;24;3,7;| PG-13
https://www.metacritic.com/movie/a-space-program;72;;| Not Rated
https://www.metacritic.com/movie/a-star-is-born;88;8,4;| R
https://www.metacritic.com/movie/a-state-of-mind;63;;
https://www.metacritic.com/movie/a-street-cat-named-bob;54;7,8;| Not Rated
https://www.metacritic.com/movie/a-tale-of-love-and-darkness;55;5,9;| PG-13
https://www.metacritic.com/movie/a-tale-of-two-sisters;65;8;| R
https://www.metacritic.com/movie/a-talking-picture;75;5,7;
https://www.metacritic.com/movie/a-taxi-driver;69;7,8;| Not Rated
https://www.metacritic.com/movie/a-teacher;47;6,3;| Not Rated
https://www.metacritic.com/movie/a-thousand-cuts;81;5,2;| Not Rated
https://www.metacritic.com/movie/a-thousand-peace-clouds-encircle-the-sky;35;;| Unrated
https://www.metacritic.com/movie/a-thousand-words;26;4,8;| PG-13
https://www.metacritic.com/movie/a-thousand-years-of-good-prayers;64;;| Unrated
https://www.metacritic.com/movie/a-time-for-drunken-horses;78;7,9;
https://www.metacritic.com/movie/a-touch-of-sin;77;7,9;| Not Rated
https://www.metacritic.com/movie/a-town-called-panic;70;8,2;
https://www.metacritic.com/movie/a-united-kingdom;65;5,9;| PG-13
https://www.metacritic.com/movie/a-very-british-gangster;59;;
https://www.metacritic.com/movie/a-very-harold-kumar-christmas;61;6,9;| R
https://www.metacritic.com/movie/a-very-long-engagement;76;7,8;| R
https://www.metacritic.com/movie/a-vigilante;68;4,6;| R
https://www.metacritic.com/movie/a-walk-among-the-tombstones;57;6,4;| R
https://www.metacritic.com/movie/a-walk-in-the-woods;51;5,8;| R
https://www.metacritic.com/movie/a-walk-to-remember;35;8,3;| PG
https://www.metacritic.com/movie/a-war;81;7,4;| Not Rated
https://www.metacritic.com/movie/a-warriors-heart;24;;| PG
https://www.metacritic.com/movie/a-week-away;32;7,4;| Not Rated
https://www.metacritic.com/movie/a-whale-of-a-tale;50;;| Not Rated
https://www.metacritic.com/movie/a-white-white-day;81;7,3;| Not Rated
https://www.metacritic.com/movie/a-wolf-at-the-door;67;8,1;| Not Rated
https://www.metacritic.com/movie/a-woman-a-part;66;;| Not Rated
https://www.metacritic.com/movie/a-woman-in-berlin;74;7;| Unrated
https://www.metacritic.com/movie/a-woman-is-a-woman;71;7,7;
